Date,AveragePrice,Total Volume,4046,4225,Total Bags,Small Bags,type,region
2015-12-27,0.43414634146341463,0.14090439088570492,0.006975124786471996,0.3858166042944047,0.07767232470571467,0.13191161776567972,conventional,Albany
2015-12-20,0.44390243902439025,0.12034675995211558,0.004536515559371046,0.3162692412878396,0.08489478891022322,0.14424553080595823,conventional,Albany
2015-12-13,0.23902439024390243,0.25947464842408385,0.00534669412563352,0.7733334136308309,0.07274666288465768,0.12330401987899595,conventional,Albany
2015-12-06,0.3121951219512195,0.17331362243408768,0.007616028375760846,0.509958141386889,0.05189985666531301,0.08704650120564018,conventional,Albany
2015-11-29,0.4097560975609756,0.1119182902896139,0.006334221197183147,0.3105982069096469,0.05522926896273074,0.09178197560631199,conventional,Albany
2015-11-22,0.39999999999999997,0.12276896373276978,0.007967697813217578,0.34056523297846564,0.05969444499271269,0.1005244960298277,conventional,Albany
2015-11-15,0.26829268292682923,0.18311315871428774,0.009210011982461606,0.5219766220921088,0.07429629224093053,0.12567436353742972,conventional,Albany
2015-11-08,0.2634146341463414,0.24016403072631828,0.004734787958870756,0.7213692896080396,0.06099221827240842,0.09608401135741118,conventional,Albany
2015-11-01,0.28292682926829266,0.21904132873120472,0.006876964138060025,0.6186372144892585,0.10171020100169056,0.17025583612799305,conventional,Albany
2015-10-25,0.3073170731707317,0.16309285815148117,0.005667616876096234,0.458811209719587,0.0770386655343265,0.12359931624938039,conventional,Albany
2015-10-18,0.33170731707317075,0.18616546933262246,0.0062224028300407914,0.5356021391253336,0.07328529550800397,0.12078418818259495,conventional,Albany
2015-10-11,0.4097560975609756,0.14145909487990532,0.01064380333154146,0.3732269249789928,0.0904172245978363,0.15127070198509382,conventional,Albany
2015-10-04,0.424390243902439,0.13381103256715363,0.015261121453450393,0.35340820366468334,0.07820711697044647,0.12848274547737357,conventional,Albany
2015-09-27,0.26829268292682923,0.23439857951849233,0.008106360662002411,0.7043215404649793,0.05389416382487572,0.09028878175835037,conventional,Albany
2015-09-20,0.43414634146341463,0.1530338376904265,0.0069165244267963095,0.42023780340055183,0.08276740885913574,0.13015578493408958,conventional,Albany
2015-09-13,0.4097560975609756,0.16698602139345378,0.006631932553744469,0.465467069287766,0.08293995706479068,0.13285561556030953,conventional,Albany
2015-09-06,0.32682926829268294,0.21763900716265516,0.005916887062776393,0.6381002651234432,0.0713601148035018,0.11902114926096946,conventional,Albany
2015-08-30,0.3073170731707317,0.23196154995300006,0.004635618119419594,0.6685664346068989,0.09205009149431122,0.15667772264863367,conventional,Albany
2015-08-23,0.43902439024390244,0.1755099032179355,0.004932656681954789,0.48131588232543443,0.09717321919668451,0.16475559625718753,conventional,Albany
2015-08-16,0.43414634146341463,0.17562343578360654,0.003630732961995884,0.48650371470393605,0.09326909276707751,0.1578851260322149,conventional,Albany
2015-08-09,0.33170731707317075,0.24392560689130593,0.003933355714947936,0.7153193455092681,0.08239703752950266,0.13977269538891499,conventional,Albany
2015-08-02,0.49268292682926823,0.16483755651122445,0.003430845856833468,0.43952294784394136,0.10580652398335214,0.18043620149515635,conventional,Albany
2015-07-26,0.32682926829268294,0.23429690758069177,0.00436475124450075,0.6514657599662185,0.1178247923013492,0.20026076846664065,conventional,Albany
2015-07-19,0.39999999999999997,0.21202506449381137,0.007011186546272418,0.5813260139802666,0.10080923500860195,0.17023989073727652,conventional,Albany
2015-07-12,0.2975609756097561,0.2722909134390073,0.004522857840640661,0.6709105311112655,0.2182029247278101,0.3724180924375765,conventional,Albany
2015-07-05,0.44390243902439025,0.23977700086760492,0.005849607660163665,0.5143802190421265,0.2670296013948897,0.4547991869690587,conventional,Albany
2015-06-28,0.45365853658536587,0.19646965336458447,0.004468899759745254,0.4077161407889088,0.23812081071577942,0.4034147054219388,conventional,Albany
2015-06-21,0.4048780487804878,0.23010678935944417,0.00540933124946597,0.5433439987303549,0.1953728858714189,0.3321240900969771,conventional,Albany
2015-06-14,0.4292682926829268,0.1966815852133289,0.005722651427433446,0.3925197213015564,0.25902406127569033,0.4345600398389454,conventional,Albany
2015-06-07,0.3073170731707317,0.2694086710458594,0.004418305648980482,0.702986783504249,0.2034069160928977,0.34213580229310053,conventional,Albany
2015-05-31,0.38536585365853654,0.2087449858921126,0.006205650258790223,0.49928291973037053,0.21149667616961915,0.35604968890389393,conventional,Albany
2015-05-24,0.3658536585365853,0.22268625342467394,0.004576815921536069,0.5057099314306606,0.26217261947556597,0.4409791328497894,conventional,Albany
2015-05-17,0.4829268292682926,0.2411065992160081,0.007740831667607457,0.5806583166716027,0.23807937056700929,0.4030110110588951,conventional,Albany
2015-05-10,0.39999999999999997,0.26432364648766066,0.00955656818531977,0.722681161781981,0.15023214967824491,0.25352481294446816,conventional,Albany
2015-05-03,0.3707317073170731,0.12983677777314823,0.00618883040813704,0.3223003390916086,0.1122680613182022,0.18708159639732297,conventional,Albany
2015-04-26,0.38048780487804873,0.10872439891710711,0.005891320889783555,0.2539414262819378,0.11412509798496383,0.18516324323727615,conventional,Albany
2015-04-19,0.3658536585365853,0.10758066100025904,0.005208434953264363,0.24047808657676184,0.12773139924537846,0.20856218418735464,conventional,Albany
2015-04-12,0.33658536585365845,0.1060422057807075,0.005814756929610271,0.21520307945626316,0.15276026668521944,0.25203667869163776,conventional,Albany
2015-04-05,0.3512195121951219,0.10384104896095739,0.006470731105084372,0.25207032927169704,0.09582087710039706,0.15131501177275794,conventional,Albany
2015-03-29,0.28292682926829266,0.14872902280484654,0.009434456069577667,0.41534981132449783,0.06862702981931292,0.11052133608268666,conventional,Albany
2015-03-22,0.33170731707317075,0.10161107520830723,0.01441010428980199,0.2431140881014696,0.0870748622539279,0.14186184821490586,conventional,Albany
2015-03-15,0.32682926829268294,0.09436058553459815,0.01431880614045652,0.21572043150930484,0.09262132251054782,0.1531614573535159,conventional,Albany
2015-03-08,0.3073170731707317,0.08878514597808196,0.0053532875070895665,0.21517821084894767,0.08200496370816453,0.13534493636485873,conventional,Albany
2015-03-01,0.26829268292682923,0.12192545344992389,0.004234969276860797,0.3233155592460915,0.08173220893587146,0.137775228559544,conventional,Albany
2015-02-22,0.3073170731707317,0.10013552524472046,0.007322555621564126,0.24837525098872199,0.0837692959041861,0.13799141126060427,conventional,Albany
2015-02-15,0.3024390243902439,0.09111391436806784,0.006638189538187453,0.21287464096391007,0.09210635721354654,0.15301242927874245,conventional,Albany
2015-02-08,0.26829268292682923,0.11238913525194512,0.009132304272443903,0.27711004110759535,0.09486168055343319,0.15505512582216505,conventional,Albany
2015-02-01,0.26829268292682923,0.15548193717526454,0.009108958319737289,0.42522626181613105,0.08326594099369368,0.14060798854875634,conventional,Albany
2015-01-25,0.3024390243902439,0.0989768077941545,0.006333548403157019,0.23519722718570973,0.09686474015821027,0.15490563778419786,conventional,Albany
2015-01-18,0.3560975609756097,0.09757940618975858,0.006150279310439947,0.22346547939731534,0.10646769083969976,0.17863575223377293,conventional,Albany
2015-01-11,0.39024390243902435,0.09029566282976088,0.00674711489101746,0.22417412842970688,0.07524218149874193,0.12320942078214901,conventional,Albany
2015-01-04,0.38048780487804873,0.08958885726518477,0.01896942756665875,0.20041844442964452,0.08677835084462435,0.1408549887837975,conventional,Albany
